"year","title","authors","source","volume","issue","doi","document_type","language"
2024,"Experimental accumulation and depuration kinetics and natural occurrence of microcystin-LR in basil ( Ocimum basilicum L.) *","Van Hassel, WHR; Abdallah, MF; Velasquez, MGG; Miles, CO; Samdal, IA; Masquelier, J; Rajkovic, A","Environmental Pollution","347",NA,"10.1016/j.envpol.2024.123715","Article","English"
2015,"Depuration and anatomical distribution of domoic acid in the surf clam Mesodesma donacium","Alvarez, G; Uribe, E; Regueiro, J; Martin, H; Gajardo, T; Jara, L; Blanco, J","Toxicon","102",NA,"10.1016/j.toxicon.2015.05.011","Article","English"
2016,"Microcystin-LR bioaccumulation and depuration kinetics in lettuce and arugula: Human health risk assessment","Cordeiro-Araújo, MK; Chia, MA; Arruda-Neto, JDD; Tornisielo, VL; Vilca, FZ; Bittencourt-Oliveira, MD","Science of The Total Environment","566",NA,"10.1016/j.scitotenv.2016.05.204","Article","English"
2011,"Comparative dynamics of paralytic shellfish toxins (PST) in a tolerant and susceptible population of the copepod Acartia hudsonica","Dam, HG; Haley, ST","Harmful Algae","10","3","10.1016/j.hal.2010.10.004","Article","English"
2023,"Cation-Exchange Resin Applied to Paralytic Shellfish Toxins Depuration from Bivalves Exposed to Gymnodinium catenatum","Leal, JF; Bombo, G; Amado, PSM; Pereira, H; Cristiano, MLS","Foods","12","4","10.3390/foods12040768","Article","English"
1991,"UPTAKE, DISPOSITION AND DEPURATION OF DOMOIC ACID BY BLUE MUSSELS (MYTILUS-EDULIS)","NOVACZEK, I; MADHYASTHA, MS; ABLETT, RF; JOHNSON, G; NIJJAR, MS; SIMS, DE","Aquatic Toxicology","21","1-2","10.1016/0166-445X(91)90009-X","Article","English"
2006,"Trophic transfer of paralytic shellfish toxins from clams (Ruditapes philippinarum) to gastropods (Nassarius festivus)","Choi, MC; Yu, PKN; Hsieh, DPH; Lam, PKS","Chemosphere","64","10","10.1016/j.chemosphere.2006.01.036","Article","English"
2024,"Accumulation and depuration of 4,5-dihydro-KmTx2 from Karlodinium veneficum in the bivalves, Mercenaria mercenaria and Sinonovacula constricta","Li, YR; Chen, R; Zhu, ZJ; Mu, T; Ran, ZS; Xu, JL; Zhou, CX; Yan, XJ","Harmful Algae","139",NA,"10.1016/j.hal.2024.102736","Article","English"
2016,"Changes of paralytic shellfish toxins in gills and digestive glands of the cockle Cerastoderma edule under post-bloom natural conditions","Costa, ST; Vale, C; Raimundo, J; Matias, D; Botelho, MJ","Chemosphere","149",NA,"10.1016/j.chemosphere.2016.01.105","Article","English"
2014,"Temperature effects on kinetics of paralytic shellfish toxin elimination in Atlantic surfclams, Spisula solidissima","Bricelj, VM; Cembella, AD; Laby, D","Deep-Sea Research Part Ii-Topical Studies in Oceanography","103",NA,"10.1016/j.dsr2.2013.05.014","Article","English"
2022,"Okadaic Acid Depuration from the Cockle Cerastoderma edule","Blanco, J; Martín, H; Mariño, C; Rossignoli, AE","Toxins","14","3","10.3390/toxins14030216","Article","English"
2021,"Experimental Evidence of Ciguatoxin Accumulation and Depuration in Carnivorous Lionfish","Leite, ID; Sdiri, K; Taylor, A; Viallon, J; Gharbia, HB; Júnior, LLM; Swarzenski, P; Oberhaensli, F; Darius, HT; Chinain, M; Bottein, MYD","Toxins","13","8","10.3390/toxins13080564","Article","English"
2014,"Influence of Two Depuration Periods on the Activity and Transcription of Antioxidant Enzymes in Tilapia Exposed to Repeated Doses of Cylindrospermopsin under Laboratory Conditions","Ríos, V; Guzmán-Guillén, R; Moreno, IM; Prieto, AI; Puerto, M; Jos, A; Cameán, AM","Toxins","6","3","10.3390/toxins6031062","Article","English"
1999,"Okadaic acid depuration in the mussel Mytilus galloprovincialis:: one- and two-compartment models and the effect of environmental conditions","Blanco, J; Fernández, ML; Míguez, A; Moroño, A","Marine Ecology Progress Series","176",NA,"10.3354/meps176153","Article","English"
2017,"Accumulation and depuration of paralytic shellfish toxins by Australian abalone Haliotis rubra: Conclusive association with Gymnodinium catenatum dinoflagellate blooms","McLeod, C; Dowsett, N; Hallegraeff, G; Harwood, DT; Hay, B; Ibbott, S; Malhi, N; Murray, S; Smith, K; Tan, J; Turnbull, A","Food Control","73",NA,"10.1016/j.foodcont.2016.10.012","Article","English"
2019,"Sublethal effects of microcystin-LR in the exposure and depuration time in a neotropical fish: Multibiomarker approach","Calado, SLD; Vicentini, M; Santos, GS; Pelanda, A; Santos, H; Coral, LA; Magalhaes, VD; Mela, M; Cestari, MM; de Assis, HCS","Ecotoxicology and Environmental Safety","183",NA,"10.1016/j.ecoenv.2019.109527","Article","English"
2018,"Transformation and Depuration o f Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California","Medina-Elizaide, J; García-Mendoza, E; Turner, AD; Sánchez-Bravo, YA; Murillo-Martínez, R","Frontiers in Marine Science","5",NA,"10.3389/fmars.2018.00335","Article","English"
2024,"Effects of Vibrio vulnificus and Microcystis aeruginosa co-exposures on microplastic accumulation and depuration in the Eastern Oyster (Crassostrea virginica)","Wenclawiak, JT; Weinstein, JE; Key, PB; Plante, CJ; Beckingham, BA","Environmental Pollution","359",NA,"10.1016/j.envpol.2024.124558","Article","English"
2010,"The copepod Calanus finmarchicus: A potential vector for trophic transfer of the marine algal biotoxin, domoic acid","Leandro, LF; Teegarden, GJ; Roth, PB; Wang, ZH; Doucette, GJ","Journal of Experimental Marine Biology and Ecology","382","2","10.1016/j.jembe.2009.11.002","Article","English"
2001,"Accumulation and depuration kinetics of paralytic shellfish toxins in the scallop Patinopecten yessoensis fed Alexandrium tamarense","Sekiguchi, K; Sato, S; Ogata, T; Kaga, S; Kodama, M","Marine Ecology Progress Series","220",NA,"10.3354/meps220213","Article","English"
2021,"Effect of carboxymethyl chitosan on the detoxification and biotransformation of paralytic shellfish toxins in oyster Ostrea rivularis","Yang, XH; Hu, XQ; Dong, ZQ; Li, M; Zheng, ZX; Xie, WC","Toxicon","196",NA,"10.1016/j.toxicon.2021.03.006","Article","English"
1992,"DEPURATION OF DOMOIC ACID FROM LIVE BLUE MUSSELS (MYTILUS-EDULIS)","NOVACZEK, I; MADHYASTHA, MS; ABLETT, RF; DONALD, A; JOHNSON, G; NIJJAR, MS; SIMS, DE","Canadian Journal of Fisheries and Aquatic Sciences","49","2","10.1139/f92-035","Article","English"
2004,"Accumulation and depuration of the cyanobacterial toxin cylindrospermopsin in the freshwater mussel Anodonta cygnea","Saker, ML; Metcalf, JS; Codd, GA; Vasconcelos, VM","Toxicon","43","2","10.1016/j.toxicon.2003.11.022","Article","English"
2021,"Depuration Kinetics and Growth Dilution of Caribbean Ciguatoxin in the Omnivore Lagodon rhomboides: Implications for Trophic Transfer and Ciguatera Risk","Bennett, CT; Robertson, A","Toxins","13","11","10.3390/toxins13110774","Article","English"
2015,"New horizon in dialysis depuration: Characterization of a polysulfone membrane able to break the 'albumin wall'","Cuoghi, A; Caiazzo, M; Monari, E; Bellei, E; Bergamini, S; Sereni, L; Aucella, F; Loschiavo, C; Atti, M; Tomasi, A","Journal of Biomaterials Applications","29","10","10.1177/0885328214565651","Article","English"
2018,"Combined effect of temperature and nutritional regime on the elimination of the lipophilic toxin okadaic acid in the naturally contaminated wedge shell Donax trunculus","Botelho, MJ; Vale, C; Joaquim, S; Costa, ST; Soares, F; Roque, C; Matias, D","Chemosphere","190",NA,"10.1016/j.chemosphere.2017.09.100","Article","English"
2010,"Domoic acid uptake and elimination kinetics in oysters and mussels in relation to body size and anatomical distribution of toxin","Mafra, LL; Bricelj, VM; Fennel, K","Aquatic Toxicology","100","1","10.1016/j.aquatox.2010.07.002","Article","English"
2018,"Accumulation and Biotransformation of Dinophysis Toxins by the Surf Clam Mesodesma donacium","Blanco, J; Alvarez, G; Rengel, J; Díaz, R; Mariño, C; Martín, H; Uribe, E","Toxins","10","8","10.3390/toxins10080314","Article","English"
2020,"Distribution of Domoic Acid in the Digestive Gland of the King ScallopPecten maximus","Blanco, J; Mauriz, A; Alvarez, G","Toxins","12","6","10.3390/toxins12060371","Article","English"
2008,"Depuration of microcystin-LR from the red swamp crayfish Procambarus clarkii with assessment of its food quality","Tricarico, E; Bertocchi, S; Brusconi, S; Casalone, E; Gherardi, F; Giorgi, G; Mastromei, G; Parisi, G","Aquaculture","285","1-4","10.1016/j.aquaculture.2008.08.003","Article","English"
2008,"Accumulation and depuration of okadaic acid esters in the European green crab (Carcinus maenas) during a feeding study","Jorgensen, K; Cold, U; Fischer, K","Toxicon","51","3","10.1016/j.toxicon.2007.09.004","Article","English"
2009,"Changes in the GST Activity of the Mussel Mytilus galloprovincialis during Exposure and Depuration of Microcystins","Fernandes, S; Welker, M; Vasconcelos, VM","Journal of Experimental Zoology Part A-Ecological and Integrative Physiology","311A","3","10.1002/jez.524","Article","English"
2023,"Dual characteristics of Bellamya aeruginosa encountering Microcystis aeruginosa: Algal control and toxin depuration","Wang, M; Qiu, Y; Zhang, ZY; Chen, YT; Qin, WL; Guan, WC; Li, G; Yu, HG; Dai, CJ; Li, RH; Ma, ZL","Ecotoxicology and Environmental Safety","252",NA,"10.1016/j.ecoenv.2023.114596","Article","English"
2020,"Paralytic Shellfish Toxins (PST)-Transforming Enzymes: A Review","Raposo, MIC; Gomes, MTSR; Botelho, MJ; Rudnitskaya, A","Toxins","12","5","10.3390/toxins12050344","Review","English"
2021,"Accumulation of paralytic shellfish toxins by Southern Rock lobster Jasus edwardsii causes minimal impact on lobster health","Turnbull, A; Malhi, N; Seger, A; Jolley, J; Hallegraeff, G; Fitzgibbon, Q","Aquatic Toxicology","230",NA,"10.1016/j.aquatox.2020.105704","Article","English"
2019,"Dynamics of an epidemic model with impact of toxins","Saha, S; Samanta, GP","Physica A-Statistical Mechanics and Its Applications","527",NA,"10.1016/j.physa.2019.121152","Article","English"
2006,"Nodularin accumulation during cyanobacterial blooms and experimental depuration in zooplankton","Karjalainen, M; Kozlowsky-Suzuki, B; Lehtiniemi, M; Engström-Öst, J; Kankaanpää, H; Viitasalo, M","Marine Biology","148","4","10.1007/s00227-005-0126-y","Article","English"
2007,"Anatomical distribution of diarrhetic shellfish poisoning (DSP) toxins in the mussel Mytilus galloprovincialis","Blanco, J; Mariño, C; Martín, H; Acosta, CP","Toxicon","50","8","10.1016/j.toxicon.2007.09.002","Article","English"
2012,"Calanus spp.-Vectors for the biotoxin, domoic acid, in the Arctic marine ecosystem?","Tammilehto, A; Nielsen, TG; Krock, B; Moller, EF; Lundholm, N","Harmful Algae","20",NA,"10.1016/j.hal.2012.10.004","Article","English"
2017,"Potential human health risk assessment of cylindrospermopsin accumulation and depuration in lettuce and arugula","Cordeiro-Araújo, MK; Chia, MA; Bittencourt-Oliveira, MD","Harmful Algae","68",NA,"10.1016/j.hal.2017.08.010","Article","English"
2015,"Prediction of on-site depuration of paralytic shellfish poisoning toxins accumulated in the scallop Patinopecten yessoensis of Ofunato Bay, Japan","Kaga, S; Sato, S; Kaga, Y; Naiki, K; Watanabe, S; Yamada, Y; Ogata, T","Fisheries Science","81","4","10.1007/s12562-015-0891-6","Article","English"
2024,"The amnesic shellfish poisoning toxin, domoic acid: The tattoo of the king scallop Pecten maximus","García-Corona, JL; Fabioux, C; Vanmaldergem, J; Petek, S; Derrien, A; Terre-Terrillon, A; Bressolier, L; Breton, F; Hegaret, H","Harmful Algae","133",NA,"10.1016/j.hal.2024.102607","Article","English"
2020,"Rapid Domoic Acid Depuration in the Scallop Argopecten purpuratus and Its Transfer from the Digestive Gland to Other Organs","Alvarez, G; Rengel, J; Araya, M; Alvarez, F; Pino, R; Uribe, E; Díaz, PA; Rossignoli, AE; López-Rivera, A; Blanco, J","Toxins","12","11","10.3390/toxins12110698","Article","English"
2007,"Trophic transfer of paralytic shellfish toxins from the cladoceran (Moina mongolica) to larvae of the fish (Sciaenops ocellatus)","Jlang, TJ; Wang, DZ; Niu, T; Xu, YX","Toxicon","50","5","10.1016/j.toxicon.2007.05.008","Article","English"
2016,"Accumulation, transformation and breakdown of DSP toxins from the toxic dinoflagellate Dinophysis acuta in blue mussels, Mytilus edulis","Nielsen, LT; Hansen, PJ; Krock, B; Vismann, B","Toxicon","117",NA,"10.1016/j.toxicon.2016.03.021","Article","English"
2021,"Field Validation of the Southern Rock Lobster Paralytic Shellfish Toxin Monitoring Program in Tasmania, Australia","Turnbull, A; Dorantes-Aranda, JJ; Madigan, T; Jolley, J; Revill, H; Harwood, T; Hallegraeff, G","Marine Drugs","19","9","10.3390/md19090510","Article","English"
2020,"Biokinetics and biotransformation of paralytic shellfish toxins in different tissues of Yesso scallops, Patinopecten yessoensis","Liu, Y; Kong, FZ; Xun, XG; Dai, L; Geng, HX; Hu, XL; Yu, RC; Bao, ZM; Zhou, MJ","Chemosphere","261",NA,"10.1016/j.chemosphere.2020.128063","Article","English"
2018,"Bifurcations and global dynamics in a toxin-dependent aquatic population model","Huang, QH; Seo, G; Shan, CH","Mathematical Biosciences","296",NA,"10.1016/j.mbs.2017.11.013","Article","English"
2002,"Depuration of mussels (Mytilus galloprovincialis) contaminated with domoic acid","Blanco, J; de la Puente, MB; Arévalo, F; Salgado, C; Moroño, A","Aquatic Living Resources","15","1","10.1016/S0990-7440(01)01139-1","Article","English"
2015,"Oxidative effects and toxin bioaccumulation after dietary microcystin intoxication in the hepatopancreas of the crab Neohelice (Chasmagnathus) granulata","Sabatini, SE; Brena, BM; Pirez, M; de Molina, MDR; Luquet, CM","Ecotoxicology and Environmental Safety","120",NA,"10.1016/j.ecoenv.2015.05.041","Article","English"
1999,"Cyanobacterial toxins in Portugal: effects on aquatic animals and risk for human health","Vasconcelos, VM","Brazilian Journal of Medical and Biological Research","32","3","10.1590/S0100-879X1999000300001","Article; Proceedings Paper","English"
2021,"Toxin accumulation, detoxification and oxidative stress in bivalve (Anomalocardia flexuosa) exposed to the dinoflagellate Prorocentrum lima","Leite, ID; Sandrini-Neto, L; Squella, FL; Alves, TP; Schramm, MA; Calado, SLD; de Assis, HCS; Mafra, LL","Aquatic Toxicology","232",NA,"10.1016/j.aquatox.2020.105738","Article","English"
2018,"Dynamics of paralytic shellfish toxins and their metabolites during timecourse exposure of scallops Chlamys farreri and mussels Mytilus galloprovincialis to Alexandrium pacificum","Qiu, JB; Meng, FP; Ding, L; Che, YJ; McCarron, P; Beach, DG; Li, AF","Aquatic Toxicology","200",NA,"10.1016/j.aquatox.2018.05.003","Article","English"
2004,"Assimilation and depuration of microcystin-LR by the zebra mussel, Dreissena polymorpha","Pires, LMD; Karlsson, KM; Meriluoto, JAO; Kardinaal, E; Visser, PM; Siewertsen, K; Van Donk, E; Ibelings, BW","Aquatic Toxicology","69","4","10.1016/j.aquatox.2004.06.004","Article","English"
2012,"PHYSIOLOGICAL EFFECTS AND BIOTRANSFORMATION OF PSP TOXINS IN THE NEW ZEALAND SCALLOP, PECTEN NOVAEZELANDIAE","Contreras, AM; Marsden, ID; Munro, MHG","Journal of Shellfish Research","31","4","10.2983/035.031.0426","Article","English"
2020,"Uptake of Paralytic Shellfish Toxins by Blacklip Abalone (Haliotis rubra rubra Leach) from direct exposure to Alexandrium catenella microalgal cells and toxic aquaculture feed","Seger, A; Hallegraeff, G; Stone, DAJ; Bansemer, MS; Harwood, DT; Turnbull, A","Harmful Algae","99",NA,"10.1016/j.hal.2020.101925","Article","English"
2008,"Postconsumption domoic acid generation by the diatom Pseudo-nitzschia multiseries as a factor in depuration models","Stewart, JE","Canadian Journal of Fisheries and Aquatic Sciences","65","9","10.1139/F08-136","Article","English"
2013,"Evaluation of Passive Samplers as a Monitoring Tool for Early Warning of Dinophysis Toxins in Shellfish","Pizarro, G; Moroño, A; Paz, B; Franco, JM; Pazos, Y; Reguera, B","Marine Drugs","11","10","10.3390/md11103823","Article","English"
2008,"Uptake and depuration of anatoxin-a by the mussel Mytilus galloprovincialis (Lamarck, 1819) under laboratory conditions","Osswald, J; Rellán, S; Gago, A; Vasconcelos, V","Chemosphere","72","9","10.1016/j.chemosphere.2008.05.012","Article","English"
2018,"Depuration time and sublethal effects of microcystins in a freshwater fish from water supply reservoir","Calado, SLD; Santos, GS; Leite, TPB; Wojciechowski, J; Nadaline, M Jr; Bozza, DC; de Magalhaes, VF; Cestari, MM; Prodocimo, V; de Assis, HCS","Chemosphere","210",NA,"10.1016/j.chemosphere.2018.07.075","Article","English"
2021,"Rapid uptake and slow depuration: Health risks following cyanotoxin accumulation in mussels?","Camacho-Muñoz, D; Waack, J; Turner, AD; Lewis, AM; Lawton, LA; Edwards, C","Environmental Pollution","271",NA,"10.1016/j.envpol.2020.116400","Article","English"
2009,"Photocatalytic properties of nanocrystalline titanium dioxide films in the degradation of domoic acid in aqueous solution: potential for use in molluscan shellfish biotoxin depuration facilities","Djaoued, Y; Robichaud, J; Thibodeau, M; Balaji, S; Tchoukanova, N; Bates, SS","Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure and Risk Assessment","26","2","10.1080/02652030802322887","Article","English"
